time,x,value
0.0,0.5,2.548350155714075e-07
0.0,0.5009989393398282,2.5469207335579536e-07
0.0,0.5019978786796564,2.545504159132802e-07
0.0,0.5029968180194846,2.5441004324386217e-07
0.0,0.5039957573593129,2.542709553475412e-07
0.0,0.5049946966991411,2.54133152224317e-07
0.0,0.5059936360389694,2.539966145665481e-07
0.0,0.5069925753787976,2.538613241192423e-07
0.0,0.5079915147186258,2.537272808823998e-07
0.0,0.508990454058454,2.535944848560207e-07
0.0,0.5099893933982822,2.534629360401047e-07
0.0,0.5109883327381105,2.533326158773519e-07
0.0,0.5119872720779386,2.532035068125621e-07
0.0,0.5129862114177667,2.530756088457356e-07
0.0,0.5139851507575951,2.5294892197687225e-07
0.0,0.5149840900974233,2.52823446205972e-07
0.0,0.5159830294372516,2.5269916368997924e-07
0.0,0.5169819687770797,2.525760575402732e-07
0.0,0.517980908116908,2.524541277568542e-07
0.0,0.5189798474567363,2.523333743397222e-07
0.0,0.5199787867965644,2.5221379728887706e-07
0.0,0.5209777261363926,2.520953794414739e-07
0.0,0.5219766654762207,2.519781045441331e-07
0.0,0.522975604816049,2.518619725968547e-07
0.0,0.5239745441558773,2.517469835996388e-07
0.0,0.5249734834957055,2.516331375524852e-07
0.0,0.5259724228355339,2.515204179406539e-07
0.0,0.526971362175362,2.514088091164191e-07
0.0,0.5279703015151902,2.512983110797806e-07
0.0,0.5289692408550184,2.5118892383073865e-07
0.0,0.5299681801948466,2.51080647369293e-07
0.0,0.5309671195346748,2.509734657985039e-07
0.0,0.5319660588745029,2.508673640483503e-07
0.0,0.5329649982143311,2.5076234211883224e-07
0.0,0.5339639375541595,2.506584000099497e-07
0.0,0.5349628768939877,2.5055553772170256e-07
0.0,0.535961816233816,2.5045373994633124e-07
0.0,0.5369607555736441,2.503529921651041e-07
0.0,0.5379596949134724,2.502532943780212e-07
0.0,0.5389586342533007,2.501546465850825e-07
0.0,0.5399575735931288,2.50057048786288e-07
0.0,0.540956512932957,2.499604862360146e-07
0.0,0.541955452272785,2.498649449418407e-07
0.0,0.5429543916126133,2.497704249037665e-07
0.0,0.5439533309524418,2.49676926121792e-07
0.0,0.54495227029227,2.495844485959171e-07
0.0,0.5459512096320983,2.4949297811708737e-07
0.0,0.5469501489719264,2.494025011955585e-07
0.0,0.5479490883117546,2.493130178313303e-07
0.0,0.5489480276515828,2.492245280244031e-07
0.0,0.549946966991411,2.491370317747766e-07
0.0,0.5509459063312394,2.490505153857802e-07
0.0,0.5519448456710674,2.489649658479753e-07
0.0,0.5529437850108956,2.488803831613619e-07
0.0,0.553942724350724,2.487967673259401e-07
0.0,0.5549416636905522,2.487141183417097e-07
0.0,0.5559406030303804,2.486324230014955e-07
0.0,0.5569395423702087,2.4855166875497746e-07
0.0,0.5579384817100368,2.484718556021556e-07
0.0,0.5589374210498652,2.483929835430299e-07
0.0,0.5599363603896933,2.483150525776003e-07
0.0,0.5609352997295215,2.482380499665143e-07
0.0,0.5619342390693496,2.481619635984952e-07
0.0,0.5629331784091778,2.480867934735429e-07
0.0,0.5639321177490062,2.480125395916574e-07
0.0,0.5649310570888343,2.479392019528387e-07
0.0,0.5659299964286626,2.478667682650258e-07
0.0,0.5669289357684906,2.477952268369539e-07
0.0,0.5679278751083188,2.47724577668623e-07
0.0,0.5689268144481472,2.476548207600332e-07
0.0,0.5699257537879754,2.475859561111844e-07
0.0,0.5709246931278037,2.475179718578478e-07
0.0,0.5719236324676318,2.474508567107207e-07
0.0,0.5729225718074601,2.473846106698031e-07
0.0,0.5739215111472884,2.47319233735095e-07
0.0,0.5749204504871165,2.472547259065964e-07
0.0,0.5759193898269447,2.471910757294583e-07
0.0,0.5769183291667728,2.471282722992131e-07
0.0,0.577917268506601,2.4706631561586095e-07
0.0,0.5789162078464294,2.470052056794018e-07
0.0,0.5799151471862576,2.469449424898356e-07
0.0,0.5809140865260859,2.468855149841877e-07
0.0,0.581913025865914,2.468269126265669e-07
0.0,0.5829119652057423,2.467691354169733e-07
0.0,0.5839109045455706,2.467121833554069e-07
0.0,0.5849098438853987,2.466560564418676e-07
0.0,0.5859087832252269,2.466007439886403e-07
0.0,0.586907722565055,2.465462358129687e-07
0.0,0.5879066619048832,2.464925319148528e-07
0.0,0.5889056012447116,2.464396322942927e-07
0.0,0.5899045405845398,2.463875369512884e-07
0.0,0.5909034799243681,2.463362355576073e-07
0.0,0.5919024192641963,2.462857182689568e-07
0.0,0.5929013586040244,2.462359850853367e-07
0.0,0.5939002979438528,2.461870360067472e-07
0.0,0.5948992372836809,2.461388710331881e-07
0.0,0.5958981766235092,2.460914801809224e-07
0.0,0.5968971159633372,2.460448539301745e-07
0.0,0.5978960553031654,2.459989922809444e-07
0.0,0.5988949946429938,2.4595389523323216e-07
0.0,0.599893933982822,2.459095627870376e-07
0.0,0.6008928733226503,2.458659852888752e-07
0.0,0.6018918126624784,2.458231535302243e-07
0.0,0.6028907520023066,2.457810675110849e-07
0.0,0.603889691342135,2.4573972723145704e-07
0.0,0.6048886306819631,2.4569913269134057e-07
0.0,0.6058875700217914,2.4565927455395865e-07
0.0,0.6068865093616195,2.4562014390942813e-07
0.0,0.6078854487014476,2.455817407577493e-07
0.0,0.608884388041276,2.45544065098922e-07
0.0,0.6098833273811042,2.455071169329461e-07
0.0,0.6108822667209325,2.4547088722687145e-07
0.0,0.6118812060607606,2.454353673574443e-07
0.0,0.6128801454005889,2.454005573246648e-07
0.0,0.6138790847404172,2.453664571285329e-07
0.0,0.6148780240802453,2.453330667690485e-07
0.0,0.6158769634200736,2.453003775048297e-07
0.0,0.6168759027599016,2.452683809878184e-07
0.0,0.6178748420997299,2.452370772180151e-07
0.0,0.6188737814395582,2.4520646619541945e-07
0.0,0.6198727207793864,2.451765479200316e-07
0.0,0.6208716601192148,2.451473139303681e-07
0.0,0.6218705994590428,2.4511875614267645e-07
0.0,0.622869538798871,2.4509087455695664e-07
0.0,0.6238684781386994,2.450636691732088e-07
0.0,0.6248674174785275,2.4503713999143266e-07
0.0,0.6258663568183558,2.450112788189303e-07
0.0,0.6268652961581839,2.449860778258766e-07
0.0,0.627864235498012,2.449615370122717e-07
0.0,0.6288631748378404,2.449376563781157e-07
0.0,0.6298621141776685,2.4491443592340825e-07
0.0,0.6308610535174969,2.448918677136485e-07
0.0,0.631859992857325,2.4486994416304643e-07
0.0,0.6328589321971532,2.4484866527160217e-07
0.0,0.6338578715369816,2.448280310393159e-07
0.0,0.6348568108768098,2.448080414661872e-07
0.0,0.635855750216638,2.447886888658207e-07
0.0,0.6368546895564662,2.4476996588702785e-07
0.0,0.6378536288962943,2.447518725298089e-07
0.0,0.6388525682361227,2.44734408794164e-07
0.0,0.6398515075759508,2.447175746800927e-07
0.0,0.6408504469157791,2.447013627396828e-07
0.0,0.6418493862556072,2.4468576584734825e-07
0.0,0.6428483255954354,2.446707840030893e-07
0.0,0.6438472649352638,2.44656417206906e-07
0.0,0.644846204275092,2.4464266545879813e-07
0.0,0.6458451436149203,2.446295215401589e-07
0.0,0.6468440829547483,2.446169785424165e-07
0.0,0.6478430222945765,2.4460503646557103e-07
0.0,0.6488419616344049,2.445936953096226e-07
